"Code","deaths","X2018.people.per.sq..km","Mean_ann_earnings","median_age_2018","pm25_5yAvg","no2_5yAvg","o3_5yAvg","pm10_5yAvg","nox_5yAvg","cases","earnings_5ya.x","pop_dens_5ya","age_5ya.x","earnings_5ya.y","age_5ya.y","earnings_5ya","age_5ya"
"E07000132",18,378,25750,45,9.5840676,10.1458539,3.2828146,14.733703,13.846556,98,25293,372,44.7,25293,44.7,25293,44.7
"E07000133",14,106,24053,47.1,9.4569266,8.9690523,3.3899147,14.861503,12.1342,38,23213.4,106,46.2,23213.4,46.2,23213.4,46.2
"E07000134",27,366,28006,43.9,10.53115,12.54205,2.9951716,15.911361,17.429727,89,25631.6,356,43.7,25631.6,43.7,25631.6,43.7
"E07000135",18,2425,23642,42.7,10.0606786,15.605405,2.820079,14.763987,22.456092,59,22876.8,2403,42.9,22876.8,42.9,22876.8,42.9
"E07000136",10,190,21573,41.8,3.24960724,2.1549931,1.412330996,5.53599874,2.73893922,69,20173.4,187,42.1,20173.4,42.1,20173.4,42.1
"E07000137",12,80,23634,52,9.2660427,9.1349216,3.9292632,15.652028,12.352491,65,23550,79,51.2,23550,51.2,23550,51.2
"E07000139",19,126,28639,46.1,9.7743157,9.3287095,3.4687974,16.468816,12.642422,94,26479,124,45.7,26479,45.7,26479,45.7
"E07000140",12,125,25558,46.2,9.8966279,12.8819172,4.6146346,14.064772,18.329473,55,24331.6,124,45.9,24331.6,45.9,24331.6,45.9
"E07000141",12,150,25972,46.2,9.6138735,8.7014101,3.6700565,15.795781,11.742982,77,26294.2,149,45.4,26294.2,45.4,26294.2,45.4
"E07000143",11,107,23143,46.4,9.581935,7.8169579,5.2662686,15.493535,10.437548,89,21829.6,105,45.8,21829.6,45.8,21829.6,45.8
"E07000144",13,234,26363,48,9.8989421,10.7809457,4.7336051,15.533349,14.775376,76,24375.8,232,47.6,24375.8,47.6,24375.8,47.6
"E07000145",16,570,21918,45.7,10.4891346,16.568495,3.8975666,14.927307,24.66913,111,21479.8,568,45,21479.8,45,21479.8,45
"E07000146",32,106,24498,47.4,10.0427601,10.1619828,4.9086044,16.204706,13.859126,160,23317,105,46.7,23317,46.7,23317,46.7
"E07000147",13,109,21427,53.8,9.6689377,8.279963,4.8650813,15.777459,11.094444,56,20872.4,108,53.1,20872.4,53.1,20872.4,53.1
"E07000148",1,3617,25987,33.3,11.113186,17.252489,3.9653211,16.06388,25.073305,78,24420.4,3573,33.6,24420.4,33.6,24420.4,33.6
"E07000149",11,152,28675,46.2,9.8403229,8.5639522,5.3235359,16.030877,11.494946,72,27186.8,149,46,27186.8,46,27186.8,46
"E07000150",8,882,22986,37.4,9.6900568,14.527602,2.9482488,14.205066,20.685425,47,22833.8,858,37.3,22833.8,37.3,22833.8,37.3
"E07000151",16,128,31238,45.1,9.6736437,12.1638318,3.3544832,14.172332,16.895745,68,31751.2,124,45.1,31751.2,45.1,31751.2,45.1
"E07000152",27,184,32021,44.6,9.4734474,9.6994428,3.6586538,14.666836,13.206268,84,29254,181,44,29254,44,29254,44
"E07000153",16,434,27304,41.2,3.24960724,2.1549931,1.412330996,5.53599874,2.73893922,100,26343.2,426,41.1,26343.2,41.1,26343.2,41.1
"E07000154",49,2787,27777,37.2,11.312459,19.66451,2.6819202,17.133576,29.361289,260,26521.4,2765,36.8,26521.4,36.8,26521.4,36.8
"E07000155",13,146,33455,45.2,9.3128265,8.3160304,4.0215197,14.288958,11.153479,82,32248.4,144,44.9,32248.4,44.9,32248.4,44.9
"E07000156",11,487,23647,41.9,10.79627,15.505281,3.1046818,16.3624,22.172985,68,25940.8,481,41.8,25940.8,41.8,25940.8,41.8
"E07000164",18,70,27639,49.4,7.7540158,6.6683403,3.6268909,12.795118,8.7648561,98,26152.2,69,48.5,26152.2,48.5,26152.2,48.5
"E07000168",17,133,22600,49.7,8.2583226,10.1287084,3.8261995,12.406868,13.74591,85,21689.4,133,48.9,21689.4,48.9,21689.4,48.9
"E07000169",8,149,32728,44.6,9.1211125,12.1740283,2.9369958,14.418024,16.978258,42,28651.6,147,44.3,28651.6,44.3,28651.6,44.3
"E07000170",37,1161,25083,42.1,4.13760736,3.0250346,1.325921184,7.50008666,3.87725938,95,23409.8,1144,42.1,23409.8,42.1,23409.8,42.1
"E07000171",10,183,24794,45.6,9.677308,11.249064,2.72865,15.97695,15.54591,85,24324.4,182,45.1,24324.4,45.1,24324.4,45.1
"E07000172",24,1414,32044,43.2,10.674894,20.008146,2.14857,15.985498,29.665017,109,30635.8,1406,43.1,30635.8,43.1,30635.8,43.1
"E07000174",33,1419,21600,42.1,3.24960724,2.1549931,1.412330996,5.53599874,2.73893922,81,20980.8,1407,42,20980.8,42,20980.8,42
"E07000175",24,187,27586,45.2,9.9743482,9.8192974,2.9790647,16.732959,13.363538,87,25716.2,185,44.8,25716.2,44.8,25716.2,44.8
"E07000176",17,288,36684,43.9,10.4367991,11.253029,3.0743949,16.928387,15.494899,90,34675.6,284,43.8,34675.6,43.8,34675.6,43.8
"E07000177",28,253,31298,41.1,9.9562153,11.833163,3.8808975,15.528167,16.335988,179,29596.6,250,40.8,29596.6,40.8,29596.6,40.8
"E07000178",22,3384,30401,29,10.662325,18.305772,3.1906534,15.544048,27.148488,291,29763.2,3385,29.9,29763.2,29.9,29763.2,29.9
"E07000179",23,207,40886,44.3,9.4013929,9.613686,4.1927314,13.892541,13.078413,164,40011.4,206,43.8,40011.4,43.8,40011.4,43.8
"E07000180",51,232,35462,42.6,9.2817024,8.2158054,4.3960256,14.163289,11.038528,145,32882.2,225,42.7,32882.2,42.7,32882.2,42.7
"E07000181",27,154,28948,44.4,9.040846,7.3019099,4.2307193,13.558891,9.7236099,121,30255,153,43.8,30255,43.8,30255,43.8
"E07000187",7,155,25863,46.6,8.5891756,7.2393265,3.1787673,12.921275,9.6068622,20,25179.4,153,45.9,25179.4,45.9,25179.4,45.9
"E07000188",11,218,26472,46.5,8.4573298,11.1966427,2.7907484,13.2253,15.298671,77,25781,215,45.9,25781,45.9,25781,45.9
"E07000189",12,175,23211,47.2,8.1880541,5.8873844,3.285029,12.585442,7.7110851,55,22600,174,46.6,22600,46.6,22600,46.6
"E07000192",32,1269,25444,42.6,9.1036424,12.907457,2.9847768,13.256596,17.986303,107,24538.2,1258,42.3,24538.2,42.3,24538.2,42.3
"E07000193",36,306,26344,42.1,8.25616,8.7085594,2.8926009,12.246886,11.700859,133,24736,303,41.9,24736,41.9,24736,41.9
"E07000195",27,614,24887,41.9,8.8076351,15.898776,2.2040724,13.293013,22.691264,104,22826,607,42,22826,42,22826,42
"E07000196",37,275,30398,47.7,8.451,7.9715819,3.7268697,13.174496,10.628347,173,27995.2,274,47.1,27995.2,47.1,27995.2,47.1
"E07000197",21,227,28083,45.2,9.155713,14.210172,2.8142325,13.367599,19.964419,88,27272.4,224,44.8,27272.4,44.8,27272.4,44.8
