Unnamed: 0,Code,deaths,X2018.people.per.sq..km,Mean_ann_earnings,median_age_2018,Name,lat,lon
210,E07000203,16,118,"27,972",47.6,Mid Suffolk,52.2347618,1.0451343
211,E07000207,40,"1,437","47,817",42.7,Elmbridge,52.308409,-2.1474369
212,E07000208,40,"2,345",x,41.5,Epsom and Ewell,51.3363098,-0.2673817
213,E07000209,19,546,"39,178",37.5,Guildford,51.2356068,-0.5732063
214,E07000210,38,338,"39,720",47.1,Mole Valley,51.2201281,-0.334729
215,E07000211,80,"1,144","42,621",41.4,Reigate and Banstead,51.2516404,-0.1864682
216,E07000212,22,"1,128","34,344",38.0,Runnymede,51.3948374,-0.5519609
217,E07000213,34,"2,213","32,146",41.7,Spelthorne,51.4250347,-0.4592861
218,E07000214,10,935,"41,945",43.8,Surrey Heath,51.335889,-0.6916534
219,E07000215,23,353,"40,378",44.2,Tandridge,51.2393372,-0.0344318
220,E07000216,25,364,"44,350",44.6,Waverley,55.9519018,-3.1904199
221,E07000217,13,"1,591","35,379",40.8,Woking,51.3201891,-0.5564726
222,E07000218,19,228,"28,676",45.6,North Warwickshire,52.5613395,-1.6296012
223,E07000219,45,"1,633","25,406",41.4,Nuneaton and Bedworth,52.5010313,-1.4677392
224,E07000220,15,305,"31,943",41.3,Rugby,52.3726682,-1.2620038
225,E07000221,28,130,"34,261",48.1,Stratford-on-Avon,52.161709,-1.6358077
226,E07000222,29,504,"36,839",39.8,Warwick,41.7002024,-71.4161108
227,E07000223,4,"1,523","26,670",45.5,Adur,50.8452213,-0.29393
228,E07000224,14,723,"27,380",49.4,Arun,48.6278838,123.1928905
229,E07000225,22,154,"29,877",48.9,Chichester,50.8446771,-0.7831144
230,E07000226,21,"2,500","27,167",37.2,Crawley,51.1103444,-0.1801094
231,E07000227,26,268,"35,637",46.1,Horsham,51.0630273,-0.3295028
232,E07000228,41,448,"36,282",43.7,Mid Sussex,51.0053398,-0.1273113
233,E07000229,9,"3,383","30,228",44.8,Worthing,50.8116902,-0.3703948
234,E07000234,37,455,"32,175",45.5,Bromsgrove,52.3353816,-2.0597449
235,E07000235,14,135,"26,325",50.5,Malvern Hills,52.1675343,-2.3311425
236,E07000236,17,"1,567","23,406",40.1,Redditch,52.3057655,-1.9417444
237,E07000237,13,"3,062","26,961",38.3,Worcester,42.2761217,-71.8058232
238,E07000238,31,192,"28,504",48.0,Wychavon,52.1803417,-2.0623137
239,E07000239,32,517,"25,626",46.5,Wyre Forest,52.3850592,-2.2347966
240,E07000240,36,914,"52,906",40.9,St Albans,51.7492956,-0.3422526
241,E07000241,39,948,"31,020",35.4,Welwyn Hatfield,51.7731055,-0.2095171
242,E07000242,34,311,"45,546",42.6,East Hertfordshire,51.8656789,0.012485
243,E07000243,4,"3,379","29,805",38.1,Stevenage,51.9035099,-0.2013368
244,E08000001,62,"2,041","24,501",38.8,Bolton,53.5782863,-2.4300367
245,E08000002,51,"1,911","27,123",40.4,Bury,49.3132772,2.3439338
246,E08000003,106,"4,735","25,239",30.0,Manchester,53.4794892,-2.2451148
247,E08000004,75,"1,655","23,601",37.1,Oldham,35.3907651,-102.6193428
248,E08000005,71,"1,391","24,755",38.1,Rochdale,53.6153659,-2.1557561
249,E08000006,137,"2,617","24,908",35.0,Salford,53.4877463,-2.2891921
250,E08000007,100,"2,315","30,372",42.5,Stockport,53.407901,-2.160243
251,E08000008,75,"2,183","23,571",40.2,Tameside,53.4786454,-2.0770212
252,E08000009,46,"2,229","36,338",40.6,Trafford,53.418936,-2.3592972
253,E08000010,52,"1,733","25,597",42.2,Wigan,53.5457188,-2.6264624
254,E08000011,24,"1,729","25,101",39.6,Knowsley,53.4552358,-2.8546852
255,E08000012,213,"4,424","25,557",34.7,Liverpool,53.407154,-2.991665
256,E08000013,35,"1,320","25,877",43.0,St. Helens,53.4535471,-2.7343231
257,E08000014,89,"1,777","25,897",46.4,Sefton,53.5034122,-2.9714708
258,E08000015,116,"2,058","26,766",44.3,Wirral,53.3409714,-3.0500916
259,E08000016,55,745,"25,394",42.5,Barnsley,53.5527719,-1.4827755
260,E08000017,35,547,"24,590",41.3,Doncaster,53.5227681,-1.1335312
261,E08000018,55,924,"24,152",42.1,Rotherham,53.4310417,-1.355187
262,E08000019,115,"1,583","25,706",35.4,Sheffield,53.3806626,-1.4702278
