"","ons_code","area","personal.buses.Motorways","personal.buses.A.roads","personal.buses.Minor.roads","personal.diesel.cars.Motorways","personal.diesel.cars.A.roads","personal.diesel.cars.Minor.roads","personal.petrol.cars.Motorway","personal.petrol.cars.A.roads","personal.petrol.cars.Minor.roads","personal.motorcycles.Motorways","personal.motorcycles.A.roads","personal.motorcycles.Minor.roads","freight.HGV.Motorways","freight.HGV.A.roads","freight.HGV.Minor.roads","freight.diesel.LGV.Motorways","freight.diesel.LGV.A.roads","freight.diesel.LGV.Minor.roads","freight.petrol.LGV.Motorways","freight.petrol.LGV.A.roads","freight.petrol.LGV.Minor.roads"
"196","E07000181","West Oxfordshire",0,576,666,0,10374,9755,0,10931,9793,0,177,172,0,5535,817,0,5703,4880,0,174,172
"197","E07000187","Mendip",0,647,1258,0,10864,11295,0,11612,11805,0,170,275,0,9223,1233,0,7228,5994,0,224,215
"198","E07000188","Sedgemoor",974,719,1199,24584,9242,9270,17248,10148,9888,152,169,245,22106,6013,898,11973,5699,4908,343,180,178
"199","E07000189","South Somerset",0,940,1338,0,22079,13219,0,23334,13440,0,270,293,0,15834,1540,0,14134,7107,0,421,251
"200","E07000192","Cannock Chase",54,270,831,2006,4590,3710,1409,5431,4491,9,52,52,1234,3157,252,685,2752,1914,20,89,75
"201","E07000193","East Staffordshire",0,591,1022,0,12219,7093,0,13902,7747,0,142,102,0,17048,1023,0,7289,3546,0,227,131
"202","E07000194","Lichfield",211,707,788,7616,19667,4934,5362,20838,5482,30,209,68,3772,19441,421,2416,11526,2547,69,342,95
"203","E07000195","Newcastle-under-Lyme",333,662,1071,11793,11661,6134,8522,13552,7399,69,112,87,25810,9770,503,3601,7097,3109,102,224,121
"204","E07000196","South Staffordshire",702,469,846,24599,10008,6237,18239,10558,6795,134,135,84,42934,6736,614,14373,5810,3138,411,175,116
"205","E07000197","Stafford",602,860,1186,24020,12549,8013,16854,14310,8807,100,146,114,44673,7841,717,11728,6620,4122,336,208,153
"206","E07000198","Staffordshire Moorlands",0,707,885,0,8111,6953,0,8902,7416,0,101,94,0,7971,661,0,4967,3601,0,152,131
"207","E07000199","Tamworth",0,198,706,0,3573,2925,0,4216,3657,0,42,44,0,2364,188,0,1661,1499,0,54,60
"208","E07000200","Babergh",0,651,659,0,14452,6740,0,15125,6748,0,174,164,0,17002,858,0,10109,4343,0,297,152
"209","E07000202","Ipswich",0,687,852,0,6526,3610,0,8110,4513,0,107,132,0,4722,237,0,3316,2382,0,111,95
"210","E07000203","Mid Suffolk",0,434,796,0,14032,8730,0,14361,8611,0,170,218,0,24287,1133,0,10507,5916,0,302,206
"211","E07000207","Elmbridge",191,547,912,6926,15002,8506,4831,16737,10635,62,337,162,6269,3680,572,3569,8391,4230,101,265,169
"212","E07000208","Epsom and Ewell",0,213,431,0,2650,4679,0,3517,5850,0,66,104,0,614,270,0,1410,2195,0,55,88
"213","E07000209","Guildford",102,1289,759,4088,30040,9960,2852,32567,11141,42,574,160,3441,9731,811,1945,16855,4716,55,510,177
"214","E07000210","Mole Valley",445,403,559,11398,8621,7606,7952,9753,8544,117,197,118,10505,2463,626,5936,4671,3569,168,150,135
"215","E07000211","Reigate and Banstead",586,602,799,17433,8038,8822,12147,10023,10893,186,163,164,14634,2774,604,9518,4480,4363,269,157,173
"216","E07000212","Runnymede",710,298,552,24414,5841,6532,17058,6843,7957,268,103,119,18335,1360,537,11463,2969,3194,325,99,126
"217","E07000213","Spelthorne",314,298,542,9304,4615,5399,6494,5674,6750,131,110,105,5821,1895,318,4285,2535,2627,121,89,105
"218","E07000214","Surrey Heath",329,263,579,14067,7651,6281,10014,8947,7573,147,110,119,8299,2313,443,6336,3862,3089,180,127,121
"219","E07000215","Tandridge",724,253,621,26839,4611,8843,18775,4962,9728,250,83,137,21193,2020,814,14905,2889,4064,424,88,151
"220","E07000216","Waverley",0,468,914,0,13762,12948,0,15299,14255,0,234,200,0,4686,1112,0,7454,6052,0,232,225
"221","E07000217","Woking",76,274,527,3037,4109,5205,2119,5184,6445,31,69,99,2552,1000,326,1442,1941,2605,41,70,103
"222","E07000218","North Warwickshire",826,236,564,41566,7588,6167,29183,8026,6351,189,98,89,64924,8766,508,22609,4361,2864,648,128,102
